Name,Text,Core Tag,Related Tag
Plus Charge Field,"Set a field token with ""You may charge an additional time.""",add-charge,set-field
Plus Charge,You may charge an additional time this turn.,add-charge,
Plus Summon Field,"Set a field token with ""You may summon an additional time.""",add-summon,set-field
Plus Summon,You may summon an additional time this turn.,add-summon,
Banish Hand,Banish all dice from target hand.,banish,
Banish Hand X,Banish X dice from target hand.,banish,
Banish Grave,Banish all dice from target grave.,banish,
Banish Grave X,Banish X dice from target grave.,banish,
Banish Stock,Banish all dice from target stock.,banish,
Banish Stock X,Banish X dice from target stock.,banish,
Bleeding,This unit has Bleeding.,bleeding,
Bleeding Attack,This unit has Bleeding attacks.,bleeding,
Inflict Bleeding,"Set an equip token with ""This unit has Bleeding"" on target unit.",bleeding,set-equip
Equip Bleeding,"Set an equip token with ""This unit has Bleeding attacks"" on target unit.",bleeding,set-equip
Attack Break,"Set an equip token with ""This unit cannot attack but can defend"" on target unit.",cannot-attack,set-equip
Attack Break Field,"Set a field token with ""Units cannot attack but can defend.""",cannot-attack,set-field
Battle Break,"Set an equip token with ""This unit cannot battle"" on target unit.",cannot-battle,set-equip
Battle Break Field,"Set a field token with ""Units cannot battle.""",cannot-battle,set-field
Ability Break,"Set an equip token with ""This unit cannot activate abilities"" on target unit.",cannot-cast,set-equip
Ability Break Field,"Set a field token with ""Units cannot activate abilities.""",cannot-cast,set-field
Charge Break Field,"Set a field token with ""Players cannot charge or set energy.""",cannot-charge,set-field
Defend Break,"Set an equip token with ""This unit cannot defend but can attack"" on target unit.",cannot-defend,set-equip
Defend Break Field,"Set a field token with ""Units cannot defend but can attack.""",cannot-defend,set-field
Summon Break Field,"Set a field token with ""Players cannot summon or set units.""",cannot-summon,set-field
Capture,Target unit is captured by this unit.,capture,
Captured,This unit is captured by target unit.,capture,
Capture Other,Target unit is captured by another target unit.,capture,
End Capture,This unit is released from capture.,capture-end,
End Capture Other,Target unit is released from capture.,capture-end,
Cleave X,This unit has Cleave X.,cleave,
Equip Cleave X,"Set an equip token with ""This unit has Cleave X"" on target unit.",cleave,set-equip
Control Change,Take control of target unit.,control-change,
Copy,Copy target ability.,copy,
,...where X is the number of dice in the grave.,count-grave,
,...where X is the power of the target unit.,count-power,
,...where X is the number of tokens on the field.,count-token,
,...where X is the number of equip tokens on the field.,count-token,
,...where X is the number of field tokens on the field.,count-token,
,...where X is the number of units on the field.,count-unit,
Damage X,Deal X damage to target unit.,damage,
Multi-Damage X,Deal X damage to Y target units.,damage,
Damage +X,This unit deals +X damage.,damage-gain,
Equip Damage +X,"Set an equip token with ""This unit deals +X damage"" on target unit.",damage-gain,set-equip
Damage -X,This unit deals -X damage.,damage-loss,
Equip Damage -X,"Set an equip token with ""This unit deals -X damage"" on target unit.",damage-loss,set-equip
Self Damage,Deal X damage to this unit.,damage-self,
Deadly,This unit has Deadly.,deadly,
Deadly Equip,"Set an equip token with ""This unit has Deadly"" on target unit.",deadly,set-equip
Defender,This unit has Defender.,defender,
Equip Defender,"Set an equip token with ""This unit has Defender"" on target unit.",defender,set-equip
Destroy Equips,Destroy all equip tokens on target unit.,destroy-equip,
Destroy Fields,Destroy all field tokens on the field.,destroy-field,
Self Destruct,Destroy this unit.,destroy-self,
Destroy Shield,Destroy target shield.,destroy-shield,
Destroy Token,Destroy target token.,destroy-token,
Wipe Tokens,Destroy all tokens on the field.,destroy-token,
Destroy Unit,Destroy target unit.,destroy-unit,
Wipe Units,Destroy all units on the field.,destroy-unit,
Discard X,Target player discards up to X dice from their hand.,discard,
Discard Hand,Target player discards all dice from their hand.,discard,
Discard All,All players discard all dice from their hands.,discard,
Double-strike,This unit has Double-strike.,double-strike,
Equip Double-strike,"Set an equip token with ""This unit has Double-strike"" on target unit.",double-strike,set-equip
Drain X,Drain X power from target unit.,drain,
Draining,This unit has Draining attacks.,drain,
Equip Draining,"Set an equip token with ""This unit has Draining attacks"" on target unit.",drain,set-equip
Draw X,Draw X dice.,draw,
Evade Ability,This unit evades when targeted by an ability.,evade,
Evade Battle,This unit evades when targeted for battle.,evade,
Evade Damage,This unit evades when damaged..,evade,
Instant Evade,Instant. This unit may evade.,evade,
Force Battle,Target unit battles another target unit.,force-battle,
Force Battle All,All units of target player battle another player.,force-battle,
Force Battle Self,This unit battles target unit.,force-battle,
Frozen,This unit has Frozen.,frozen,
Frozen attacks,This unit has Frozen attacks.,frozen,
Inflict Frozen,"Set an equip token with ""This unit has Frozen"" on target unit.",frozen,set-equip
Equip Frozen,"Set an equip token with ""This unit has Frozen attacks"" on target unit.",frozen,set-equip
Haste,This unit has Haste.,haste,
Equip Haste,"Set an equip token with ""This unit has Haste"" on target unit.",haste,set-equip
Hexproof,This unit has Hexproof.,hexproof,
Equip Hexproof,"Set an equip token with ""This unit has Hexproof"" on target unit.",hexproof,set-equip
Indestructible,This unit has Indestructible.,indestructible,
Equip Indestructible,"Set an equip token with ""This unit has Indestructible"" on target unit.",indestructible,set-equip
Instant,Instant.,instant,
,Target player must battle X units this turn or...,must-battle,
,Target player must charge X this turn or...,must-charge,
,Target player must destroy X units this turn or...,must-destroy,
,Target player must discard X dice this turn or...,must-discard,
,Target player must summon X this turn or...,must-summon,
Negate Ability,Target ability is negated.,negate-ability,
Negate Battle,Target battle is negated.,negate-battle,
Negate Damage,Damage is negated.,negate-damage,
Negate Summon,Summon or set unit is negated.,negate-summon,
Negate Charge,Charge or set token is negated.,negate-token,
,When an ability is activated...,on-ability-end,
,When this player activates an ability...,on-ability-end,
