Index,Cost Rank,Style,Summon Rank,Rarity,Text,Tags 1,Tags 2,Tags 3,Tags 4,Tags 5,Tags
1,Other,Build,Regular,Common,Spend 2 shield power. Set one 1 power typeless unit.,sacrifice-shield,set-unit,,,,"sacrifice-shield,set-unit"
2,Other,Build,Regular,Common,Banish 2 dice from your grave. Set one 1 power typeless unit.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
3,Single,Build,Regular,Common,Spend a single. Draw 3 dice and discard 2.,draw,discard,,,,"draw,discard"
4,Single,Build,Regular,Common,Spend a single. Scry 3 dice.,scry,,,,,scry
5,Single,Build,Regular,Common,Spend a single. Re-roll up to 3 dice from your hand.,reroll,,,,,reroll
6,Single,Build,Regular,Common,Spend a single. Look at target opponent's hand.,view,,,,,view
7,Single,Build,Regular,Common,Spend a single. Set one 2 power typeless unit.,set-unit,,,,,set-unit
8,Single,Build,Regular,Common,Spend a single. Set one 1 power unit with this type.,set-unit,,,,,set-unit
9,Single,Build,Regular,Common,Spend a single. Target unit gains +1 power.,power-gain,,,,,power-gain
10,Single,Build,Regular,Common,"Spend a single, sacrifice a unit you control. Ths unit gets +X where X is the sacrifice's power.",sacrifice-unit,power-gain,,,,"sacrifice-unit,power-gain"
11,Double,Build,Regular,Common,Spend a double. Target unit gains +2 power.,power-gain,,,,,power-gain
12,Double,Build,Regular,Common,"Spend a double. Target unit gains +2 power, and has Haste until end of turn.",power-gain,haste,,,,"power-gain,haste"
13,Single,Build,Regular,Common,"Spend a single, target a unit you control. Target unit changes to this type.",type-change,,,,,type-change
14,Other,Build,Regular,Common,Spend 3 shield power. You may charge an additional time.,sacrifice-shield,add-charge,,,,"sacrifice-shield,add-charge"
15,Single,Build,Regular,Common,"Spend a single, target an equip token. Target token becomes a 1 power unit with the same type.",set-unit,,,,,set-unit
16,Single,Build,Regular,Common,"Spend a single, target an equip token, target a unit you control. Target unit gets a copy of that token.",set-equip-token,copy,,,,"set-equip-token,copy"
17,Other,Build,Regular,Common,Sacrifice a unit you control. This unit gets +2 power.,sacrifice-unit,power-gain,,,,"sacrifice-unit,power-gain"
18,Other,Build,Regular,Common,Spend 3 shield power. Set one 2 power typeless unit.,sacrifice-shield,set-unit,,,,"sacrifice-shield,set-unit"
19,Other,Build,Regular,Common,Banish 3 dice from your grave. Set one 2 power typeless unit.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
20,Other,Build,Regular,Common,Banish 3 dice from your grave. Set two 1 power typeless units.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
21,Other,Build,Regular,Common,Banish 3 dice from your grave. This unit gets +2 power.,sacrifice-grave,power-gain,,,,"sacrifice-grave,power-gain"
22,Trigger,Build,Regular,Uncommon,"When this unit gains power, you may sacrifice this unit. Set two units with the same type and half the power of the sacrificed unit.",on-power-gain,sacrifice-unit,set-unit,,,"on-power-gain,sacrifice-unit,set-unit"
23,Single,Build,Regular,Uncommon,"Spend a single. Set an equip token with ""When this unit takes damage, it gets +1 power.""",set-equip-token,on-receive-damage,power-gain,,,"set-equip-token,on-receive-damage,power-gain"
24,Single,Build,Regular,Common,"Spend a single. Set an equip token with ""This unit gets +3 power.""",set-equip-token,power-gain,,,,"set-equip-token,power-gain"
25,Single,Build,Regular,Uncommon,"Spend a single, sacrifice an equip token on this unit. Deal 3 damage to a target unit.",sacrifice-equip,direct-damage,copy,,,"sacrifice-equip,direct-damage,copy"
